                                                           The SAS System                         17:44 Sunday, December 2, 2018   1

                                       REPORTABLE_
                                Obs       DOMAIN      _TYPE_    _FREQ_       total        rt2_total

                                  1          .           0       10160    94506530.70    6568740.95
                                  2          1           1         375     2534023.82     121051.13
                                  3          2           1         404     1952020.66     118360.32
                                  4          3           1         580     4786063.48     284056.82
                                  5          4           1         178     2696288.57      77152.73
                                  6          5           1         254     4352725.50     293128.97
                                  7          6           1         207     3812920.13     163378.25
                                  8          7           1         341     6130174.58     415010.33
                                  9          8           1         239     3236437.56     108727.83
                                 10          9           1         218     1991275.49      75467.84
                                 11         10           1         609     3350027.44     154542.76
                                 12         11           1         270     1568628.19      81758.84
                                 13         12           1         633     2147768.76     122114.83
                                 14         13           1         238     2495481.91      94856.08
                                 15         14           1         187     2786033.76     188475.80
                                 16         15           1         378     3005647.16     198844.75
                                 17         16           1         296     4551150.62     670156.41
                                 18         17           1         798     5844327.50     474842.02
                                 19         18           1         348     4435930.41     150518.34
                                 20         19           1         208     1997109.67      35252.96
                                 21         20           1         202     3637968.99     127075.12
                                 22         21           1         826     7092407.95     660455.47
                                 23         22           1         255     1649684.65     174180.40
                                 24         23           1         142     1893284.38     186084.92
                                 25         24           1         187     1896120.49     116428.74
                                 26         25           1         128     1538062.15     167651.37
                                 27         26           1        1276     9343223.35    1027121.18
                                 28         27           1         383     3781743.53     282046.76
                                                           The SAS System                         17:44 Sunday, December 2, 2018   2

                                        REPORTABLE_
                                 Obs       DOMAIN      _TYPE_    _FREQ_       total       rt2_total

                                   1          1           0        375     2534023.82     121051.13
                                   2          2           0        404     1952020.66     118360.32
                                   3          3           0        580     4786063.48     284056.82
                                   4          4           0        178     2696288.57      77152.73
                                   5          5           0        254     4352725.50     293128.97
                                   6          6           0        207     3812920.13     163378.25
                                   7          7           0        341     6130174.58     415010.33
                                   8          8           0        239     3236437.56     108727.83
                                   9          9           0        218     1991275.49      75467.84
                                  10         10           0        609     3350027.44     154542.76
                                  11         11           0        270     1568628.19      81758.84
                                  12         12           0        633     2147768.76     122114.83
                                  13         13           0        238     2495481.91      94856.08
                                  14         14           0        187     2786033.76     188475.80
                                  15         15           0        378     3005647.16     198844.75
                                  16         16           0        296     4551150.62     670156.41
                                  17         17           0        798     5844327.50     474842.02
                                  18         18           0        348     4435930.41     150518.34
                                  19         19           0        208     1997109.67      35252.96
                                  20         20           0        202     3637968.99     127075.12
                                  21         21           0        826     7092407.95     660455.47
                                  22         22           0        255     1649684.65     174180.40
                                  23         23           0        142     1893284.38     186084.92
                                  24         24           0        187     1896120.49     116428.74
                                  25         25           0        128     1538062.15     167651.37
                                  26         26           0       1276     9343223.35    1027121.18
                                  27         27           0        383     3781743.53     282046.76
