                                                           The SAS System                      09:37 Thursday, November 29, 2018   1

                                                         REPORTABLE_     mean_
                                         Obs    DOEID       DOMAIN       hdd65     CUFEETNG

                                           1    00614         1         6900.30      1715  
                                           2    00978         1         6900.30       880  
                                           3    00277         1         6900.30         0  
                                           4    01518         1         6900.30         0  
                                           5    02380         1         6900.30         0  
                                           6    01460         1         6900.30         0  
                                           7    00789         1         6900.30         0  
                                           8    01599         1         6900.30         0  
                                           9    00713         1         6900.30         0  
                                          10    00206         1         6900.30         0  
                                          11    00750         1         6900.30         0  
                                          12    02247         1         6900.30         0  
                                          13    02578         1         6900.30         0  
                                          14    00974         1         6900.30         0  
                                          15    01639         1         6900.30         0  
                                          16    01699         1         6900.30         0  
                                          17    01103         1         6900.30         0  
                                          18    00881         1         6900.30         0  
                                          19    01370         1         6900.30         0  
                                          20    00576         1         6900.30         0  
                                          21    01628         1         6900.30      1130  
                                          22    02435         1         6900.30         0  
                                          23    02113         1         6900.30         0  
                                          24    01362         1         6900.30         0  
                                          25    01443         1         6900.30         0  
                                          26    01318         1         6900.30         0  
                                          27    00495         1         6900.30         0  
                                          28    00264         1         6900.30      1025  
                                          29    02024         1         6900.30       705  
                                          30    01008         1         6900.30         0  
                                          31    02040         1         6900.30         0  
                                          32    00428         1         6900.30       951  
                                          33    01735         1         6900.30        60  
                                          34    01278         1         6900.30         8  
                                          35    02443         1         6900.30         0  
                                          36    00383         1         6900.30        11  
                                          37    01258         1         6900.30         0  
                                          38    01657         1         6900.30         0  
                                          39    01185         1         6900.30         0  
                                          40    02383         1         6900.30         0  
                                          41    00060         1         6900.30        25  
                                          42    01730         1         6900.30         0  
                                          43    01229         1         6900.30       839  
                                          44    00764         1         6900.30         0  
                                          45    01286         1         6900.30         0  
                                          46    00185         1         6900.30         0  
                                          47    01477         1         6900.30         0  
                                          48    01283         1         6900.30       252  
                                          49    02003         1         6900.30         0  
                                          50    00296         1         6900.30         0  
                                          51    01200         1         6900.30         0  
                                          52    00058         1         6900.30         0  
                                          53    01849         1         6900.30      1365  
                                          54    02238         1         6900.30         0  
                                          55    02335         1         6900.30         0  
                                                           The SAS System                      09:37 Thursday, November 29, 2018   2

                                                         REPORTABLE_     mean_
                                         Obs    DOEID       DOMAIN       hdd65     CUFEETNG

                                          56    01150         1         6900.30         0  
                                          57    01579         1         6900.30      1370  
                                          58    01495         1         6900.30         0  
                                          59    02348         1         6900.30         0  
                                          60    00582         1         6900.30         0  
                                          61    01561         1         6900.30      1494  
                                          62    01951         1         6900.30         0  
                                          63    01360         1         6900.30         0  
                                          64    01359         1         6900.30         0  
                                          65    01209         1         6900.30       268  
                                          66    04281         1         6900.30        25  
                                          67    04551         1         6900.30       185  
                                          68    03090         1         6900.30         0  
                                          69    02811         1         6900.30       621  
                                          70    04176         1         6900.30       951  
                                          71    02964         1         6900.30         0  
                                          72    04570         1         6900.30         0  
                                          73    02687         1         6900.30         0  
                                          74    03286         1         6900.30         0  
                                          75    04122         1         6900.30         0  
                                          76    04596         1         6900.30         0  
                                          77    03524         1         6900.30         0  
                                          78    03217         1         6900.30         0  
                                          79    04969         1         6900.30         0  
                                          80    04275         1         6900.30         0  
                                          81    03776         1         6900.30         0  
                                          82    03200         1         6900.30         0  
                                          83    03417         1         6900.30      1292  
                                          84    03861         1         6900.30         0  
                                          85    05064         1         6900.30         0  
                                          86    04231         1         6900.30         0  
                                          87    04831         1         6900.30         0  
                                          88    03972         1         6900.30         0  
                                          89    02619         1         6900.30         0  
                                          90    03831         1         6900.30         0  
                                          91    03037         1         6900.30         0  
                                          92    03928         1         6900.30         0  
                                          93    03175         1         6900.30         0  
                                          94    04800         1         6900.30        74  
                                          95    04065         1         6900.30         0  
                                          96    04307         1         6900.30         0  
                                          97    03467         1         6900.30         0  
                                          98    04202         1         6900.30         0  
                                          99    04854         1         6900.30        96  
                                         100    03528         1         6900.30         0  
                                         101    04580         1         6900.30         0  
                                         102    02683         1         6900.30         0  
                                         103    02975         1         6900.30         0  
                                         104    03209         1         6900.30         0  
                                         105    04284         1         6900.30         0  
                                         106    04884         1         6900.30      1328  
                                         107    05032         1         6900.30         0  
                                         108    03450         1         6900.30         0  
                                         109    02780         1         6900.30         0  
                                         110    03213         1         6900.30         0  
                                                           The SAS System                      09:37 Thursday, November 29, 2018   3

                                                         REPORTABLE_     mean_
                                         Obs    DOEID       DOMAIN       hdd65     CUFEETNG

                                         111    04664         1         6900.30         0  
                                         112    04544         1         6900.30         0  
                                         113    04393         1         6900.30      1006  
                                         114    02771         1         6900.30         0  
                                         115    03354         1         6900.30         0  
                                         116    03595         1         6900.30         0  
                                         117    04058         1         6900.30         0  
                                         118    08470         1         6900.30         0  
                                         119    08947         1         6900.30         0  
                                         120    09459         1         6900.30         0  
                                         121    09717         1         6900.30       716  
                                         122    09831         1         6900.30       252  
                                         123    08820         1         6900.30         0  
                                         124    09835         1         6900.30         0  
                                         125    09991         1         6900.30        25  
                                         126    07711         1         6900.30         0  
                                         127    08187         1         6900.30         0  
                                         128    07889         1         6900.30         0  
                                         129    09311         1         6900.30       593  
                                         130    09155         1         6900.30       597  
                                         131    08306         1         6900.30         0  
                                         132    09819         1         6900.30         0  
                                         133    09952         1         6900.30         0  
                                         134    09185         1         6900.30         0  
                                         135    07958         1         6900.30         0  
                                         136    08202         1         6900.30         0  
                                         137    07800         1         6900.30         0  
                                         138    09296         1         6900.30       988  
                                         139    08302         1         6900.30       870  
                                         140    10083         1         6900.30         0  
                                         141    09375         1         6900.30       962  
                                         142    08181         1         6900.30         0  
                                         143    08490         1         6900.30         0  
                                         144    09781         1         6900.30         0  
                                         145    08037         1         6900.30         0  
                                         146    09072         1         6900.30         0  
                                         147    07752         1         6900.30         0  
                                         148    08635         1         6900.30         0  
                                         149    09046         1         6900.30         0  
                                         150    08733         1         6900.30         0  
                                         151    08262         1         6900.30         0  
                                         152    09192         1         6900.30         0  
                                         153    09405         1         6900.30       235  
                                         154    07926         1         6900.30         0  
                                         155    08134         1         6900.30         0  
                                         156    08309         1         6900.30         0  
                                         157    09976         1         6900.30      1490  
                                         158    09446         1         6900.30         0  
                                         159    08779         1         6900.30         0  
                                         160    07830         1         6900.30         0  
                                         161    08009         1         6900.30         0  
                                         162    09422         1         6900.30         0  
                                         163    09764         1         6900.30       868  
                                         164    08849         1         6900.30         0  
                                         165    09066         1         6900.30         0  
                                                           The SAS System                      09:37 Thursday, November 29, 2018   4

                                                         REPORTABLE_     mean_
                                         Obs    DOEID       DOMAIN       hdd65     CUFEETNG

                                         166    09720         1         6900.30         0  
                                         167    10071         1         6900.30         0  
                                         168    10109         1         6900.30         0  
                                         169    09430         1         6900.30      1586  
                                         170    09544         1         6900.30        25  
                                         171    09848         1         6900.30         0  
                                         172    08754         1         6900.30       343  
                                         173    09173         1         6900.30         0  
                                         174    08377         1         6900.30        49  
                                         175    09475         1         6900.30      1559  
                                         176    08662         1         6900.30        99  
                                         177    08634         1         6900.30         0  
                                         178    08855         1         6900.30       288  
                                         179    08877         1         6900.30         0  
                                         180    08456         1         6900.30         0  
                                         181    10295         1         6900.30         0  
